utt,point,etype,level,lsd_mean,lsd_median,lsd_p90,lsd_frames,nmr_median,nmr_p90,segsnr_mean,segsnr_median,crest_delta_median,crest_delta_p90,estoi_orig
hts2a,pulsepos,qround,8,5.1582,5.6709,8.5806,293,-7.4893,-4.1004,5.3751,-2.2317,-1.4211e-14,1.4582,0.5305
hts2a,pulsepos,qtrunc,0.03125,2.8702,2.8714,6.0732,293,-16.266,-7.1137,19.629,13.322,-9.4147e-14,0.36888,0.57161
hts2a,pulsepos,qtrunc,0.125,3.4552,3.7082,6.6807,293,-12.699,-7.3315,13.688,8.088,-2.4869e-14,0.34385,0.57299
hts2a,pulsepos,qtrunc,0.5,4.0406,4.689,7.442,293,-10.212,-6.2697,9.4933,3.6096,-1.2434e-14,0.70421,0.57027
hts2a,pulsepos,qtrunc,2,4.8185,5.4114,8.3446,293,-8.1267,-4.1853,6.2969,-1.5301,-1.7764e-14,0.91088,0.5624
hts2a,pulsepos,qtrunc,8,5.538,6.1984,9.4844,293,-6.185,-1.7798,5.3875,-2.3211,-3.1353e-12,1.0916,0.45693
hts2a,log2e,white,0.002,0.016541,0.012351,0.027471,293,-60.726,-55.294,35,35,-0.00014203,0.0083566,0.56833
hts2a,log2e,white,0.008,0.061688,0.049529,0.1111,293,-48.71,-43.285,35,35,-0.00056778,0.034385,0.56827
hts2a,log2e,white,0.032,0.24299,0.1991,0.44851,293,-36.64,-31.322,33.556,34.969,-0.0021064,0.13392,0.56799
hts2a,log2e,white,0.128,0.90017,0.78946,1.6093,293,-24.756,-19.045,23.743,23.066,0.019714,0.55585,0.56604
hts2a,log2e,white,0.512,3.0465,2.8742,5.1479,293,-13.028,-6.8552,11.892,11.405,0.40079,1.8808,0.54453
hts2a,log2e,framemod,0.002,0.024431,0.018795,0.03722,293,-59.376,-57.587,35,35,-0.00072231,0.010613,0.56834
hts2a,log2e,framemod,0.008,0.096196,0.07501,0.15146,293,-47.34,-45.558,35,35,-0.0029138,0.042224,0.56831
hts2a,log2e,framemod,0.032,0.36354,0.2977,0.57439,293,-35.319,-33.472,33.122,33.05,-0.0055894,0.16529,0.56815
hts2a,log2e,framemod,0.128,1.3133,1.1737,1.9019,293,-23.308,-21.377,21.302,20.99,0.20255,0.65025,0.56687
hts2a,log2e,framemod,0.512,3.9613,3.8255,5.0181,293,-11.267,-8.329,9.0434,8.7245,1.1093,2.1633,0.5506
