name,utt,variant,family,tier,dns_sig,dns_bak,dns_ovrl,dns_p808,nisqa_mos,nisqa_noi,nisqa_col,nisqa_dis,nisqa_loud
q1300_hts2a_L4-0.75,hts2a,L4-0.75,ladder,1,3.1067964801297223,3.427013647318031,2.584433491242156,2.9678850173950195,2.257143497467041,3.084066867828369,1.9080790281295776,2.9614851474761963,3.0553932189941406
q1300_hts2a_P1-knee,hts2a,P1-knee,ladder,1,3.03882108567338,3.3946236387227895,2.508558799135945,2.9717767238616943,1.8779350519180298,3.272909641265869,1.8045704364776611,1.932326316833496,2.9963016510009766
q1300_hts2a_P2-knee,hts2a,P2-knee,ladder,1,3.0565493735179725,3.4019105116315767,2.5377465188162134,2.9867725372314453,2.2312562465667725,2.918606996536255,1.8449606895446777,2.232349157333374,3.070408582687378
q1300_hts2a_orig,hts2a,orig,ladder,,3.5077014442948276,4.01799284880698,3.1994069023183385,3.4269323348999023,3.5035200119018555,3.6759824752807617,3.0222561359405518,4.168155193328857,3.541856050491333
q1300_hts2a_ref,hts2a,ref,ladder,0,3.307315810616316,3.7590806540969033,2.8796291213884344,3.2829062938690186,2.286139488220215,3.2146430015563965,1.8584617376327515,2.196809768676758,3.2273919582366943
q1300_ve9qrp_10s_L0,ve9qrp_10s,L0,ladder,2,3.3986152063144024,3.1027869203685827,2.6789516945934833,2.896932363510132,1.977329134941101,2.6701533794403076,2.0992066860198975,2.3184783458709717,3.211606502532959
q1300_ve9qrp_10s_L1,ve9qrp_10s,L1,ladder,2,3.432770297140072,3.0118960165798923,2.64088303070148,2.845780372619629,1.9291505813598633,2.7792861461639404,2.0310442447662354,2.2401316165924072,3.211613655090332
q1300_ve9qrp_10s_L2-1500,ve9qrp_10s,L2-1500,ladder,2,3.3447402862973035,2.863940885565537,2.491355882869666,2.8170969486236572,2.224743127822876,2.8075528144836426,2.141448497772217,3.23423171043396,3.490635395050049
q1300_ve9qrp_10s_L2-2000,ve9qrp_10s,L2-2000,ladder,2,3.458048813174651,3.2008940276215694,2.759143533272087,2.8798065185546875,2.2194583415985107,2.900660276412964,2.187267541885376,3.014984607696533,3.501828193664551
q1300_ve9qrp_10s_L2-2500,ve9qrp_10s,L2-2500,ladder,2,3.4673281607944952,3.225341981628542,2.780969895013483,2.862889289855957,2.1714589595794678,2.9077224731445312,2.182069778442383,2.8195314407348633,3.4534380435943604
q1300_ve9qrp_10s_L3,ve9qrp_10s,L3,ladder,2,3.4875697785958946,3.070446237645562,2.711941154106834,2.737391471862793,2.332075595855713,2.9469144344329834,2.237812042236328,3.2280402183532715,3.5265543460845947
q1300_ve9qrp_10s_L4-0.50,ve9qrp_10s,L4-0.50,ladder,1,3.500541644100177,3.2146249489767467,2.8072105004109185,2.6710355281829834,2.7951478958129883,3.059882164001465,2.452352285385132,3.7603416442871094,3.6844067573547363
q1300_ve9qrp_10s_L4-0.65,ve9qrp_10s,L4-0.65,ladder,1,3.489556271839954,3.1978001702502103,2.7805084419367927,2.712066173553467,2.6801116466522217,3.0430233478546143,2.4108879566192627,3.6173477172851562,3.6560816764831543
q1300_ve9qrp_10s_L4-0.75,ve9qrp_10s,L4-0.75,ladder,1,3.492930004472078,3.1188830601503623,2.74041646389591,2.73793625831604,2.5013673305511475,2.9687182903289795,2.3263418674468994,3.4153759479522705,3.5919628143310547
q1300_ve9qrp_10s_P1-knee,ve9qrp_10s,P1-knee,ladder,1,3.421682016736878,3.190786091823937,2.7215128782818354,2.796351432800293,2.6060545444488525,3.079303741455078,2.4072179794311523,3.396332263946533,3.582300901412964
q1300_ve9qrp_10s_P2-knee,ve9qrp_10s,P2-knee,ladder,1,3.5194170949513004,3.2421636213724145,2.8292806086877964,2.8301682472229004,2.5183939933776855,2.9210965633392334,2.3494527339935303,3.1963984966278076,3.5494728088378906
q1300_ve9qrp_10s_orig,ve9qrp_10s,orig,ladder,,3.624712743417004,3.2644125656143217,2.940987853103815,3.2372512817382812,3.4512178897857666,3.236455202102661,2.935234785079956,3.8805646896362305,3.982410192489624
q1300_ve9qrp_10s_ref,ve9qrp_10s,ref,ladder,0,3.4071595373585706,3.717461851520052,2.9930159668445326,2.736863613128662,2.7889955043792725,2.8801636695861816,2.511991024017334,3.617436170578003,3.6795032024383545
