name,utt,variant,family,tier,dns_sig,dns_bak,dns_ovrl,dns_p808,nisqa_mos,nisqa_noi,nisqa_col,nisqa_dis,nisqa_loud
hts2a.orig,hts2a,orig,anchor,anchor,3.5077014442948276,4.01799284880698,3.1994069023183385,3.4269323348999023,3.5035200119018555,3.6759824752807617,3.0222561359405518,4.168155193328857,3.541856050491333
hts2a.par-noise-1000,hts2a,par-noise-1000,smooth,resynth,2.655508603843523,3.091719911664512,2.1291777856428986,2.523705005645752,1.2033599615097046,2.8579347133636475,2.050352096557617,1.9426186084747314,2.7583794593811035
hts2a.par-noise-2000,hts2a,par-noise-2000,smooth,resynth,2.709321424420104,2.9935564940194324,2.125416295881358,2.5259957313537598,1.1568220853805542,2.815779209136963,2.0022501945495605,1.750990629196167,2.5554161071777344
hts2a.par-plain,hts2a,par-plain,buzzy,resynth,2.810321735012116,2.830925224443051,2.104936504061884,2.561401844024658,1.16876220703125,3.2013776302337646,1.8630526065826416,1.650022029876709,2.5648281574249268
hts2a.ref,hts2a,ref,anchor,anchor,3.307315810616316,3.7590806540969033,2.8796291213884344,3.2829062938690186,2.286139488220215,3.2146430015563965,1.8584617376327515,2.196809768676758,3.2273919582366943
hts2a.smooth-dither@2,hts2a,smooth-dither@2,smooth,corrupt@2,3.313000410510169,3.7599594383542225,2.886667242149668,3.2748196125030518,2.277958393096924,3.0959270000457764,1.9138484001159668,2.075157642364502,3.2425804138183594
hts2a.smooth-dither@4,hts2a,smooth-dither@4,smooth,corrupt@4,3.3511480173198556,3.7608918856137445,2.9168041824122395,3.2520945072174072,2.2521963119506836,2.984076738357544,1.8754929304122925,2.0574021339416504,3.143327474594116
hts2a.smooth-mix-1500,hts2a,smooth-mix-1500,smooth,resynth,2.9467050462446767,3.209358111457663,2.3813783095036527,2.7851545810699463,1.7407922744750977,2.808446168899536,1.798259973526001,2.0298352241516113,2.7256360054016113
hts2a.smooth-mix-800,hts2a,smooth-mix-800,smooth,resynth,2.348288396651599,3.253762587984416,1.9690225259597849,2.724189281463623,1.5393123626708984,2.889991521835327,1.6593005657196045,2.0638225078582764,2.632478713989258
hts2a.smooth-valley@2,hts2a,smooth-valley@2,smooth,corrupt@2,3.319111121531845,3.7720217676113514,2.8975137398421915,3.3086929321289062,2.428412437438965,3.0289270877838135,1.9202001094818115,2.4425086975097656,3.269089460372925
hts2a.smooth-valley@4,hts2a,smooth-valley@4,smooth,corrupt@4,3.283611103497648,3.83370078160428,2.9018607425007352,3.00854754447937,1.9500126838684082,2.33410382270813,1.8178168535232544,1.9672789573669434,2.9459755420684814
ve9qrp_10s.buzz-l0,ve9qrp_10s,buzz-l0,buzzy,resynth,3.4624830550413654,3.085537686714897,2.706846833514759,2.6402978897094727,1.9690067768096924,2.7692363262176514,2.037407159805298,2.3742568492889404,3.231778144836426
ve9qrp_10s.buzz-pump@2,ve9qrp_10s,buzz-pump@2,buzzy,corrupt@2,2.5334690953831034,3.366932761522238,2.1472126479306723,2.774559259414673,2.4212327003479004,2.7092084884643555,2.2919583320617676,3.2180850505828857,3.58870005607605
ve9qrp_10s.buzz-pump@4,ve9qrp_10s,buzz-pump@4,buzzy,corrupt@4,1.4033995568140298,2.8333563584465047,1.3182204990807047,2.8576626777648926,1.4453403949737549,2.3776943683624268,1.9599248170852661,2.1806304454803467,3.078383207321167
ve9qrp_10s.buzz-sharp@2,ve9qrp_10s,buzz-sharp@2,buzzy,corrupt@2,3.424499811754475,3.7619126412727066,3.0239191590340657,2.7477431297302246,3.070791482925415,3.0416831970214844,2.681372880935669,3.9372899532318115,3.766298532485962
ve9qrp_10s.buzz-sharp@4,ve9qrp_10s,buzz-sharp@4,buzzy,corrupt@4,3.3795721443527897,3.7610603886194527,2.9823366402545908,2.767716884613037,3.115466594696045,3.1393094062805176,2.718327522277832,3.9886574745178223,3.7732632160186768
ve9qrp_10s.buzz-spur@2,ve9qrp_10s,buzz-spur@2,buzzy,corrupt@2,3.417875865525643,2.862629862373028,2.5451647747529837,2.7963244915008545,2.5823898315429688,2.0145838260650635,2.591221809387207,3.6770007610321045,3.541025161743164
ve9qrp_10s.buzz-spur@4,ve9qrp_10s,buzz-spur@4,buzzy,corrupt@4,3.4634655333744973,2.5901773017621994,2.4742187630722894,2.863051652908325,2.3018345832824707,1.9964330196380615,2.9987268447875977,3.9812533855438232,3.512033224105835
ve9qrp_10s.orig,ve9qrp_10s,orig,anchor,anchor,3.624712743417004,3.2644125656143217,2.940987853103815,3.2372512817382812,3.4512178897857666,3.236455202102661,2.935234785079956,3.8805646896362305,3.982410192489624
ve9qrp_10s.par-noise-1000,ve9qrp_10s,par-noise-1000,smooth,resynth,3.1630078555772143,2.446608020858597,2.189044869103216,2.4658191204071045,1.271304965019226,2.436577558517456,1.8506207466125488,2.5704922676086426,2.8440778255462646
ve9qrp_10s.par-noise-2000,ve9qrp_10s,par-noise-2000,smooth,resynth,3.271919249743522,2.8059254482005795,2.4336895026826983,2.5351436138153076,1.5146962404251099,2.588284730911255,1.9345239400863647,2.344242572784424,3.0796751976013184
ve9qrp_10s.par-plain,ve9qrp_10s,par-plain,buzzy,resynth,3.4359947700135125,3.164878887172818,2.7282631511939717,2.6356546878814697,1.6755268573760986,2.8141796588897705,1.910714864730835,2.048116445541382,3.1052746772766113
ve9qrp_10s.ref,ve9qrp_10s,ref,anchor,anchor,3.4071595373585706,3.717461851520052,2.9930159668445326,2.736863613128662,2.7889955043792725,2.8801636695861816,2.511991024017334,3.617436170578003,3.6795032024383545
ve9qrp_10s.smooth-dither@2,ve9qrp_10s,smooth-dither@2,smooth,corrupt@2,3.39486887602386,3.273345908692239,2.7588930769293505,2.6804141998291016,2.7304906845092773,2.3172242641448975,2.47172474861145,3.595797300338745,3.6510305404663086
ve9qrp_10s.smooth-dither@4,ve9qrp_10s,smooth-dither@4,smooth,corrupt@4,3.333409715552623,3.2271759056526745,2.7090952057373263,2.6764419078826904,2.749427556991577,2.0085654258728027,2.55401611328125,3.7477903366088867,3.7062699794769287
ve9qrp_10s.smooth-mix-1500,ve9qrp_10s,smooth-mix-1500,smooth,resynth,3.3447402862973035,2.863940885565537,2.491355882869666,2.8170969486236572,2.224743127822876,2.8075528144836426,2.141448497772217,3.23423171043396,3.490635395050049
ve9qrp_10s.smooth-mix-800,ve9qrp_10s,smooth-mix-800,smooth,resynth,2.62592524918734,2.216722494119154,1.8980387470364724,2.665785074234009,1.8214409351348877,2.50061297416687,2.07673978805542,3.2603790760040283,3.2959587574005127
ve9qrp_10s.smooth-valley@2,ve9qrp_10s,smooth-valley@2,smooth,corrupt@2,3.473430947251712,3.6770826984548055,3.0255871138028723,2.7203376293182373,2.733830690383911,2.7876083850860596,2.542156934738159,3.7565104961395264,3.693790912628174
ve9qrp_10s.smooth-valley@4,ve9qrp_10s,smooth-valley@4,smooth,corrupt@4,3.356526531437108,3.564783382474722,2.8662794684265402,2.6134088039398193,1.9813967943191528,2.4359748363494873,2.1715619564056396,3.2504653930664062,3.368610382080078
