utt,variant,family,tier,knob,lag,lsd_mean,lsd_median,lsd_p90,segsnr_mean,segsnr_median,nmr_median,nmr_p90,crest_delta_median,crest_delta_p90,estoi_ref,estoi_orig
hts1a,smooth-dither@4,smooth,corrupt@4,step=18.81,0,3.8916870820168414,2.54837303957013,10.151781982593223,27.43846427336243,34.34414145290166,-19.868940290858262,3.260542731607448,0.002085295848016422,0.07310621794656136,0.9939537491022962,0.569759270463469
hts2a,buzz-l0,buzzy,resynth,,-32,8.488289677559393,8.340901158471496,11.098610057529294,-3.622684366209225,-3.3986275760031863,-2.0316146459420574,2.6821767356237616,0.10355834665553498,2.752603889475878,0.7865504062753794,0.6276794442388111
hts2a,smooth-mix-800,smooth,resynth,,-2,9.198719579379095,8.899255108522247,11.223714250528774,-3.2419962321525793,-3.652977541501819,-0.34140116362794326,2.885314456906255,0.18558310848403714,2.083685822375381,0.7512690015373429,0.5406348288636995
hts2a,smooth-mix-1500,smooth,resynth,,0,8.82610300110202,8.516555295350276,10.716567173618964,-3.1805435087372675,-3.509846817289838,-1.4994333885932873,1.7052423233019498,0.3128936934656137,2.0277699128359092,0.7815225421990513,0.5479961895188269
hts2a,par-plain,buzzy,resynth,,4,9.795424754628236,8.463343062844848,15.033025441096363,-3.2979767929131656,-3.5028883136961095,-2.129198630175489,7.4965626085990476,0.2479272211094634,3.0808008051393867,0.682934865357786,0.506532576114914
hts2a,par-noise-1000,smooth,resynth,,4,10.940416200206299,9.717619214065374,16.647570285283802,-3.2592322388977006,-3.484327130559656,-0.1297622822889058,7.4170232915199295,0.005407651988552864,2.3486297907743654,0.6480710030149661,0.4789344161718404
hts2a,par-noise-2000,smooth,resynth,,4,10.776699936625217,9.717854671847387,15.993793966706559,-3.2751757499379193,-3.4845432109967134,-0.36989543863602403,8.077545423499956,0.014089338787515615,2.844001516763661,0.6443930146605616,0.47495028021698693
hts2a,buzz-spur@2,buzzy,corrupt@2,level_db=-50.12,0,1.9959726688163975,1.1450899847804115,5.6113190239349,27.674438499497448,35.0,-24.132825210232074,4.632965473728059,-0.00010121027627718604,0.06450871417204267,0.9961716284124793,0.5758038578371559
hts2a,buzz-pump@2,buzzy,corrupt@2,depth=0.2842,0,1.9984089429433767,2.0512449010701164,2.884937506404793,14.158359089339848,13.98171602763843,-17.21603788737165,-11.48445600261607,0.58171186668479,1.4629217497872862,0.9898627828426485,0.5680912736767897
hts2a,buzz-sharp@2,buzzy,corrupt@2,g1=0.7471,0,2.004090301373523,1.5606623801872246,3.670703212354918,21.886602117621557,21.547960942919964,-19.370889421682016,-17.067250654977308,-0.07913673393303444,0.14880290058937967,0.9847735406922935,0.578898236069665
hts2a,smooth-valley@2,smooth,corrupt@2,level_db=-33.05,0,1.964239347284014,1.4729485705425085,3.800376276701001,33.04604066947839,33.04604066947754,-23.2933488198993,-16.42773947941043,0.0014553978638147669,0.10098736557479758,0.9881942112902062,0.5693968005944168
hts2a,smooth-dither@2,smooth,corrupt@2,step=5.611,0,1.9988764899743752,1.042493194320944,5.558514149906813,31.636290830685404,35.0,-32.526485186741986,-6.0862832254047845,-0.0001801990015177779,0.02021558534012764,0.9985609976333234,0.574821134034494
hts2a,buzz-spur@4,buzzy,corrupt@4,level_db=-37.24,0,4.043427287903938,2.873143407174157,9.449842334787649,20.377429442430827,25.065222496112924,-10.070906568777412,18.01923982509988,1.8817775696788885e-05,0.16609754363158374,0.9600288372531972,0.5684036165417999
hts2a,buzz-pump@4,buzzy,corrupt@4,depth=0.5745,0,4.019009449256705,3.684202345885127,7.139913823854049,8.043836353105553,7.86719329140414,-11.047782111005251,-5.38519016047343,1.237503330545982,2.73628516593706,0.9594051306257385,0.553250415430566
hts2a,buzz-sharp@4,buzzy,corrupt@4,g1=0.6556,0,4.0017138369663,3.6426611541640583,6.057440319523659,14.006148023722195,13.620292610296197,-12.907510149491102,-10.718989693734088,-0.1361603928689039,0.2853392098312455,0.9368032203469886,0.5707023757773115
hts2a,smooth-valley@4,smooth,corrupt@4,level_db=-23.45,0,4.094638555384114,3.487607586858233,7.11319340756784,23.451806682404378,23.45180668240353,-13.935897968243188,-6.2929839563664425,0.03162708955585991,0.32680037517533606,0.918592142248786,0.528706473871363
hts2a,smooth-dither@4,smooth,corrupt@4,step=16.24,0,3.8578399685865725,2.2926441671549607,10.039481378333376,28.216589151560672,35.0,-23.24603367586642,4.222823843837206,-0.0012050818142714803,0.046587500000081064,0.9883794825791471,0.5764549339485553
ve9qrp_10s,buzz-l0,buzzy,resynth,,-23,7.469128117705687,7.462082051003012,9.358186301800083,-3.6199970490554496,-3.6153594246587333,-3.4227201789534236,0.7235540238722042,2.0321688946072207,5.5022490324681375,0.7174692636549286,0.5707015879900497
ve9qrp_10s,smooth-mix-800,smooth,resynth,,80,7.925755906844918,7.893296204479855,9.211105820504226,-3.7507439383130805,-3.777801230959756,-1.9450824428562605,1.1459157096855161,-0.7866701647002605,2.2469398493992796,0.6902470128068343,0.519762906483064
ve9qrp_10s,smooth-mix-1500,smooth,resynth,,78,7.764330013405273,7.737173897739282,9.236249297615498,-3.6312593386379928,-3.655021667881697,-2.615173332498841,0.19328522909972723,0.3932313756063328,3.4255262924462855,0.7214377160991766,0.5409605794640087
ve9qrp_10s,par-plain,buzzy,resynth,,-35,7.621671022651792,7.477821037552247,9.803775734930413,-3.5011837521943807,-3.3563704139896258,-3.251984072315586,1.6227690329065112,2.057155283171859,5.83448429456962,0.670199968406821,0.5566530264247485
ve9qrp_10s,par-noise-1000,smooth,resynth,,80,8.360222096053793,8.09322500266194,10.242301058219486,-3.4124862670448275,-3.4185385611234933,-1.6237799104111623,3.15906336047287,-0.29006685759850637,3.000205823641328,0.6101997183924378,0.45670109338268816
ve9qrp_10s,par-noise-2000,smooth,resynth,,80,7.995575941760984,7.841695974372939,9.636136356431189,-3.337371258888037,-3.338694119704348,-2.595999717184556,1.6746243596760266,1.05876118206045,4.313782854814972,0.6627218637595472,0.493409062775369
ve9qrp_10s,buzz-spur@2,buzzy,corrupt@2,level_db=-32.4,0,2.098727042677418,1.7575626226511156,4.235336503186848,21.962031699224454,24.706045304805045,-16.32496180136075,-1.8249111418075359,-0.005044787773261561,0.2840918722736102,0.9880646770289955,0.5142836704794003
ve9qrp_10s,buzz-pump@2,buzzy,corrupt@2,depth=0.2991,0,1.9982386208820835,2.1027442187934873,2.908678913091084,13.665352160577777,13.566939268074876,-16.75031968328263,-10.978914960006504,0.48800502544276014,1.5163212667266333,0.9822127527307021,0.5122903789863145
ve9qrp_10s,buzz-sharp@2,buzzy,corrupt@2,g1=0.6387,0,2.0622184384097335,2.0438146282706176,3.317445088989355,16.678810595973477,16.77009103852689,-16.008644873708146,-12.654505559224337,-0.1264992293875089,0.2754892240055227,0.9905952991638957,0.526950958095175
ve9qrp_10s,smooth-valley@2,smooth,corrupt@2,level_db=-22.14,0,1.984084173903527,1.7589100078841233,3.3227781300536265,22.14239884671333,22.14239884671323,-20.150106769971437,-13.914109743049302,-0.004329648756847604,0.27764606372427975,0.9853257015378336,0.5080137176529547
ve9qrp_10s,smooth-dither@2,smooth,corrupt@2,step=68.59,0,2.1117821167663733,1.4732206550077707,4.717023311448071,26.434158087556522,29.991670772002003,-22.059941040586008,-8.964474773500989,-0.003138512289025286,0.16243411674103117,0.9922258860701945,0.5145904279790635
ve9qrp_10s,buzz-spur@4,buzzy,corrupt@4,level_db=-21.35,0,4.051964294440442,3.6695617585038223,7.005307438466003,11.380275652043684,13.66031778928918,-3.315530915329494,10.540654756117739,-0.05342070223538986,0.5568658666750732,0.9629771787372746,0.507104616645705
ve9qrp_10s,buzz-pump@4,buzzy,corrupt@4,depth=0.5732,0,3.8631294759087798,3.58038418431769,6.761569554437346,8.014876867204283,7.916463974701381,-10.803503061747314,-5.33259536241844,1.0571634616768906,2.6029333538934996,0.939392183119114,0.500440231039495
ve9qrp_10s,buzz-sharp@4,buzzy,corrupt@4,g1=0.4074,0,4.016185562097088,4.026158679118158,6.441623004176885,11.233292029268265,11.137418760569542,-11.385929484466553,-8.226261175639257,-0.24723473443541621,0.41008821551958474,0.9688084365501869,0.5333602605492207
ve9qrp_10s,smooth-valley@4,smooth,corrupt@4,level_db=-13.51,0,3.9908862712329305,3.7957991805562483,6.00468095080915,13.510659661651646,13.510659661651546,-11.587424210620942,-5.0897126610246195,-0.01898450308795674,0.6389562980687683,0.9288607969114222,0.4831107737394164
ve9qrp_10s,smooth-dither@4,smooth,corrupt@4,step=171.9,0,3.875419527456032,3.007985081580625,8.015692634282566,19.435515857419574,21.94646321089201,-14.412330910402629,-0.2669984500665146,-0.025734867205854606,0.2863332378693662,0.9588459739145311,0.5028005088294216
